id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1779174044280_sy4rdqgb1,1,التجمع الخامس,11,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,دبلومسين
zone_1779174652762_faguhm4ut,1,التجمع الخامس,13,40,40,900,2026-05-19 07:10:52.761+00,2026-06-16 12:45:25.234+00,فيلاج جت
zone_1779174652762_l7z26gn7d,1,التجمع الخامس,12.2,40,40,900,2026-05-19 07:10:52.761+00,2026-06-16 12:45:25.234+00,ريجنتس بارك
zone_1779174652762_rht49ytzt,1,التجمع الخامس,13.2,40,40,900,2026-05-19 07:10:52.761+00,2026-06-16 12:45:25.234+00,الامريكية
zone_1779174833213_5759wleur,1,التجمع الخامس,13.6,40,40,900,2026-05-19 07:13:53.213+00,2026-06-16 12:45:25.234+00,زيزينيا المستقبل
zone_1779174833213_7wm3pvbxd,1,التجمع الخامس,14.4,40,40,900,2026-05-19 07:13:53.213+00,2026-06-16 12:45:25.234+00,غرب أرابيلا
zone_1779174833213_fn7e00mic,1,التجمع الخامس,14,40,40,900,2026-05-19 07:13:53.213+00,2026-06-16 12:45:25.234+00,لي روا
zone_1779174833213_ospu3aevp,1,التجمع الخامس,14.4,40,40,900,2026-05-19 07:13:53.213+00,2026-06-16 12:45:25.234+00,الأشرفية
zone_1779174833213_yqsulqihk,1,التجمع الخامس,13.4,40,40,900,2026-05-19 07:13:53.213+00,2026-06-16 12:45:25.234+00,جنوب الاكاديميه
zone_1779175110733_1301hthcm,1,التجمع الخامس,15.6,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,كايرو فيستيفال
zone_1779175110733_7b6njrr7n,1,التجمع الخامس,15.6,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,ايست تاون
zone_1779175110733_7wykqsfky,1,التجمع الخامس,15.8,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,زهرة التجمع
zone_1779175110733_cltd0ggj9,1,التجمع الخامس,15.2,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,الياسمين
zone_1779175110733_dd3adjinl,1,التجمع الخامس,16.2,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,كمبوند بارديس
